Name,Description,Latitude,Longitude,Cluster
African Safari (Oita),"Animals & Aquariums · Usa, Oita · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJLyzRYCWoRjURzQqJ-wBenm8",33.3509251,131.4137658,Animals
Akita Citizen's Market (秋田市民市場),"Food & Markets · Akita, Akita

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJU1rBPe3Cj18RJNUNL1YYW84",39.714787099999995,140.1257678,Food markets
Akiyoshidai area base,"Base Town · Akiyoshidai, Yamaguchi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJDUdL20ueRDURs0VOgpDzJ2U",34.2540507,131.3043183,
Akiyoshidai Karst Plateau (秋吉台),"Caves & Karst · Mine, Yamaguchi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJqzN9Kpl8QzURKj4EnnNsBTs",34.234894,131.3058647,Nature
Akiyoshidai Safari Land (秋吉台サファリランド),"Animals & Safari · Mine, Yamaguchi · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ-ak6k2KfRDURJwSX77xNgkE",34.284681899999995,131.3317588,Animals
Akiyoshido Cave,"Nature & Water · Mine, Yamaguchi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJZ-WH63OeRDURTHdZ21gYFRc",34.2281082,131.3035348,Nature
Amaterasu Railway (あまてらす鉄道),"Scenic Train / Transit · Takachiho, Miyazaki · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJm4-IbJMsRzURwKu5OAICVDg",32.714675,131.306904,Scenic transport
American Village (Mihama) + Sunset Beach,"Views & Sunsets · Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJzZoVCAUT5TQRzIueHYt83hs",26.3158799,127.75400769999999,Scenic
Angel Road (tide path),"Nature & Water · Shodoshima, Kagawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJISiqLJiJUzUREqZM0_6o3jM",34.4781355,134.18876590000002,Nature
Animate Ikebukuro,"Anime · 1-chōme-20-7 Higashiikebukuro, Toshima City · rainy day · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJi0VhQ2-NGGARGsbajebyPVA",35.7311443,139.7154592,Anime
Aomori Furukawa Fish Market (青森魚菜センター),"Food & Markets · Aomori, Aomori

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ3bJcqB6fm18RruCZ6EBTv-Q",40.8258967,140.7359117,Food markets
% Arabica Kyoto Arashiyama,"Cafes · Kyoto · rainy day · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJCWDv__-pAWARwLeeqs_cVew",35.013542199999996,135.6764367,Cafes
Arari Beach (安良里海水浴場),"Beaches & Tidepooling · Nishiizu, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJCzWdgj33GWARsqqabuC7nyE",34.8298772,138.7678195,Nature
Arashiyama Bamboo Grove,"Nature & Water · Arashiyama (Kyoto), Kyoto

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJrYtcv-urAWAR3XzWvXv8n_s",35.0168187,135.67130129999998,Nature
Arashiyama Monkey Park Iwatayama,"Animals & Aquariums · Kyoto · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJvUn7bqsAAWARsjQHQ7CTNBs",35.011395,135.6766245,Animals
Arita Pottery Town (porcelain making/painting),"Crafts & Making · Arita, Saga

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJA3svF2SbajURZ-s8eiFJxf0",33.1898103,129.897975,Workshops & crafts
Art Aquarium Ginza,"Quirky museums · Ginza, Tokyo · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ6UVSHl2JGGARDurMrMPwvdk",35.6713698,139.7657375,Quirky museums
Asa Zoological Park,"Animals & Aquariums · Hiroshima City, Hiroshima · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJcRcMasibWjURFLQlntJhW9w",34.4966552,132.442486,Animals
Asahiyama Zoo,"Animals & Aquariums · Asahikawa, Hokkaido · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJyyPgtczgDF8R01OoHb3cJcg",43.7689713,142.4791319,Animals
Ashikaga Flower Park,"Anime · 607 Hasamachō, Ashikaga · with kids · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ0-3eEKkkH2ARQ8C5Jl8PGmM",36.3141561,139.5200222,Anime
Aso Farm/Farm Experience (kid-friendly),"Animals & Aquariums · Aso, Kumamoto · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJS1XsfQXfQDURQprP2bbWpQI",32.8983225,131.006757,Animals
Asobeach at Umitamago (あそびーち),"Beaches & Animal Encounters · Oita, Oita · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJFYMjIpOhRjURuaKTWegv_K8",33.2587468,131.535563,Animals
Atagawa Tropical & Alligator Garden (熱川バナナワニ園),"Animals & Aquariums · Higashiizu, Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJS2hAldjdGWARswejH6WHeR0",34.816181199999995,139.0678711,Animals
Atami (Onsen + beach town base),"Base Town · Atami, Shizuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJVd9Upy2_GWARfIDGzmBDBh4",35.098029,139.0767083,
Awa Odori Kaikan,"Culture & History · Tokushima City, Tokushima

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ89HG-6NyUzURLaL2S3m6Exc",34.070163799999996,134.5449903,Culture & history
Beppu “Hells” + Onsen Town,"Onsen & Ryokan Towns · Beppu, Oita

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJOaW8YLmnRjUR8hDZNS3N3Is",33.315883299999996,131.4696745,Onsen & ryokan
Beppu ‘Hells’ (Jigoku Meguri),"Nature & Water · Beppu, Oita Prefecture (multiple sites)

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJOaW8YLmnRjUR8hDZNS3N3Is",33.315883299999996,131.4696745,Nature
Beppu (別府) – onsen base,"Base Town · Beppu, Oita

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ9Q02usSnRjURxTtsoDDVjw8",33.276246500000006,131.49752949999998,
Biei Patchwork Road (scenic countryside),"Nature & Water · Biei, Hokkaido

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJd9Pr7vPFDF8RHO34QlpJINs",43.6306405,142.42831719999998,Nature
Bise Fukugi Tree Road,"Nature & Water · Motobu, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ6z_osjv65DQRNpoSOgG1iqM",26.701587399999998,127.88022469999999,Nature
"Blue Cave Snorkel (guided, optional)","Nature & Water · Onna, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJFSBnObgb5TQRQA1ByAocZog",26.442597700000004,127.77346619999997,Nature
Bunka Yokocho (文化横丁),"Food & Markets · Sendai, Miyagi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJB5rnyT0oil8RwyBRF6T7xZ0",38.258959,140.8725576,Food markets
Cafe Reissue Harajuku,"Cafes · 3-chōme-25-7 Jingūmae, Shibuya · rainy day · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJfyW8OaOMGGARiYF53TCqEsM",35.6711763,139.7079583,Cafes
Capcom Store Shibuya,"Anime · Tokyo · rainy day · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJt_x0kJONGGAR_dV1qzZpRTU",35.661952299999996,139.6989013,Anime
Cape Ashizuri,"Views & Sunsets · Tosashimizu, Kochi

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJS3tivH0tTzURixZtihoWYC4",32.7238386,133.0203158,Scenic
Cape Manzamo,"Views & Sunsets · Onna, Okinawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ-adBh3gD5TQRGFnnzG897N8",26.5052353,127.85047809999999,Scenic
Chapucha Water Play Area (ちゃぷちゃ) – Kijima Kogen,"Parks & Water Play · Beppu, Oita · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJMcZsw0OvRjURr7x2AHd8FAM",33.2642753,131.4268067,Parks
Chirihama Nagisa Driveway,"Views & Sunsets · Hakui, Ishikawa

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJRzLnlg5m918RD4J00Jaldd0",36.865476199999996,136.7582922,Scenic
Crea Base Oshiage,"Workshops & crafts · Sumida City, Mukōjima · rainy day · with kids · day trips

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJUSPJXeiPGGARv9h0cKNqQmI",35.715443799999996,139.81432669999998,Workshops & crafts
Cup Noodles Museum Osaka Ikeda,"Crafts & Making · Ikeda, Osaka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJp2oJD8bwAGARqttJH_AeWA4",34.8178846,135.4266442,Workshops & crafts
Cup Noodles Museum Yokohama,"Quirky museums · Yokohama, Kanagawa · with kids · rainy day

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ3ZNhe1dcGGARvjq5QHdmaHM",35.4554755,139.63886689999998,Quirky museums
Cycle Sports Center (サイクルスポーツセンター),"Parks & Playgrounds · Shizuoka · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJ7ZdE5c3qGWARe2rW57pHwmc",35.0104551,139.0149349,Parks
Daimaru Tokyo (Depachika) (大丸東京店),"Food & Markets · Tokyo, Tokyo

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJtxODuv6LGGARGHePjyb8m-0",35.6814742,139.76892859999998,Food markets
Daio Wasabi Farm,"Food & Markets · Azumino, Nagano

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJfb1xXaNtHWARAFcGsnrPrdg",36.3392598,137.9084423,Food markets
Dazaifu Tenmangu (short visit),"Culture & History · Dazaifu, Fukuoka

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJzfvrKp-bQTURl65fp6vRJLg",33.5213697,130.5348239,Culture & history
DMM Kariyushi Aquarium,"Animals & Aquariums · Tomigusuku, Okinawa · rainy day · with kids

Open in Google Maps: https://www.google.com/maps/place/?q=place_id:ChIJx5aUc7Rp5TQRd7FStKxoa24",26.1563877,127.65067819999997,Animals
